	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
uca_nerv														Other Central Nervous System Anomalies U	Other Central Nervous System Anomalies U	Other Central Nervous System Anomalies U	Other Central Nervous System Anomalies RFP 756=f_uca_nervous U												
uca_ompha														Omphalocele/Gastroschisis U;R	Omphalocele/Gastroschisis U;R	Omphalocele/Gastroschisis U;R	Omphalocele/Gastroschisis RFP 761=f_uca_omphalo U;R	Omphalocele/Gastroschisis RFP 761=f_uca_omphalo U;R	Omphalocele/Gastroschisis RFP 761=f_uca_omphalo U;R	Omphalocele/Gastroschisis RFP 761=f_uca_omphalo U;R	Omphalocele/Gastroschisis RFP 761=f_uca_omphalo U;R	Omphalocele/Gastroschisis RFP 761=f_uca_omphalo U;R	Omphalocele/Gastroschisis RFP 761=f_uca_omphalo U;R	Omphalocele/Gastroschisis RFP 761=f_uca_omphalo U;R	Omphalocele / Gastroschisis 1 Anomaly reported	Omphalocele / Gastroschisis 1 Anomaly reported	Omphalocele / Gastroschisis 1 Anomaly reported	Omphalocele / Gastroschisis 1 Anomaly reported	Omphalocele / Gastroschisis 1 Anomaly reported
uca_other														Other Congenital Anomalies U	Other Congenital Anomalies U	Other Congenital Anomalies U	Other Congenital Anomalies RFP 773=f_uca_othrcon U												
uca_rectal														Rectal Atresia/Stenosis U	Rectal Atresia/Stenosis U	Rectal Atresia/Stenosis U	Rectal Atresia/Stenosis RFP 759=f_uca_rectal U												
uca_renal														Renal Agenesis U	Renal Agenesis U	Renal Agenesis U	Renal Agenesis RFP 764=f_uca_renalag U												
uca_spina														Spina bifida/Meningocele U;R	Spina bifida/Meningocele U;R	Spina bifida/Meningocele U;R	Spina bifida/Meningocele RFP 753=f_uca_spina U;R	Spina bifida/Meningocele RFP 753=f_uca_spina U;R	Spina bifida/Meningocele RFP 753=f_uca_spina U;R	Spina bifida/Meningocele RFP 753=f_uca_spina U;R	Spina bifida/Meningocele RFP 753=f_uca_spina U;R	Spina bifida/Meningocele RFP 753=f_uca_spina U;R	Spina bifida/Meningocele RFP 753=f_uca_spina U;R	Spina bifida/Meningocele RFP 753=f_uca_spina U;R	Spina Bifida / Meningocele 1 Anomaly reported	Spina Bifida / Meningocele 1 Anomaly reported	Spina Bifida / Meningocele 1 Anomaly reported	Spina Bifida / Meningocele 1 Anomaly reported	Spina Bifida / Meningocele 1 Anomaly reported
uca_trach														Tracheo-Esophageal Fistula U	Tracheo-Esophageal Fistula U	Tracheo-Esophageal Fistula U	Tracheo-Esophageal Fistula RFP 760=f_uca_tracheo U												
uca_urogen														Other Urogenital Anomalies U	Other Urogenital Anomalies U	Other Urogenital Anomalies U	Other Urogenital Anomalies RFP 765=f_uca_urogen U												
udmeth_rec																Delivery Method Recode (Unrevised) U	Delivery Method Recode (Unrevised) U	Delivery Method Recode (Unrevised) U	Delivery Method Recode (Unrevised) U										
ufagecomb														Father's Combined Age U	Father's Combined Age U	Father's Combined Age U;R	Father's Combined Age U;R	Father's Combined Age U;R	Father's Combined Age U;R	Father's Combined Age U;R	Father's Combined Age U;R	Father's Combined Age U;R	Father's Combined Age U;R	Father's Combined Age U;R					
ufhisp														Father's Hispanic Origin U;R	Father's Hispanic Origin U;R	Father's Hispanic Origin RFP 570=f_forigin U;R	Father's Hispanic Origin RFP 570=f_forigin U;R	Father's Hispanic Origin RFP 570=f_forigin U;R	Father's Hispanic Origin RFP 570=f_forigin U;R	Father's Hispanic Origin RFP 570=f_forigin U;R	Father's Hispanic Origin RFP 570=f_forigin U;R	Father's Hispanic Origin RFP 570=f_forigin U;R	Father's Hispanic Origin RFP 570=f_forigin U;R	Father's Hispanic Origin RFP 570=f_forigin U;R					
uld_abrup														Abruptio placenta U	Abruptio placenta U	Abruptio placenta U	Abruptio placenta RFP 714=f_uld_abruptio U												
uld_anest														Anesthetic Complications U	Anesthetic Complications U	Anesthetic Complications U	Anesthetic Complications RFP 724=f_uld_anest U												
uld_breech														Breech U;R	Breech U;R	Breech U;R	Breech RFP 721=f_uld_breech U;R	Breech RFP 721=f_uld_breech U;R	Breech RFP 721=f_uld_breech U;R	Breech RFP 721=f_uld_breech U;R	Breech RFP 721=f_uld_breech U;R	Breech RFP 721=f_uld_breech U;R	Breech RFP 721=f_uld_breech U;R	Breech RFP 721=f_uld_breech U;R	Breech 1 Yes	Breech 1 Yes	Breech 1 Yes	Breech 1 Yes	Breech 1 Yes
uld_cephal														Cephalopelvic Disproportion U	Cephalopelvic Disproportion U	Cephalopelvic Disproportion U	Cephalopelvic Disproportion RFP 722=f_uld_cephalo U												
uld_cord														Cord Prolapse U	Cord Prolapse U	Cord Prolapse U	Cord Prolapse RFP 723=f_uld_cord U												
uld_distr														Fetal Distress U	Fetal Distress U	Fetal Distress U	Fetal Distress RFP 725=f_uld_distr U												
uld_dysfn														Dysfunctional Labor U	Dysfunctional Labor U	Dysfunctional Labor U	Dysfunctional Labor RFP 720=f_uld_dysfunc U												
uld_excbl														Other Excessive Bleeding U	Other Excessive Bleeding U	Other Excessive Bleeding U	Other Excessive Bleeding RFP 716=f_uld_excebld U												
uld_febr														Febrile U	Febrile U	Febrile U	_uld_febrile U												
uld_meco														Meconium U;R	Meconium U;R	Meconium U;R	Meconium RFP 712=f_uld_meconium U;R	Meconium RFP 712=f_uld_meconium U;R	Meconium RFP 712=f_uld_meconium U;R	Meconium RFP 712=f_uld_meconium U;R	Meconium RFP 712=f_uld_meconium U;R	Meconium RFP 712=f_uld_meconium U;R	Meconium RFP 712=f_uld_meconium U;R	Meconium RFP 712=f_uld_meconium U;R					
uld_other														Other Complications U	Other Complications U	Other Complications U	Other Complications RFP 726=f_uld_other U												
uld_precip														Precipitous labor U;R	Precipitous labor U;R	Precipitous labor U;R	Precipitous labor RFP 718=f_uld_precip U;R	Precipitous labor RFP 718=f_uld_precip U;R	Precipitous labor RFP 718=f_uld_precip U;R	Precipitous labor RFP 718=f_uld_precip U;R	Precipitous labor RFP 718=f_uld_precip U;R	Precipitous labor RFP 718=f_uld_precip U;R	Precipitous labor RFP 718=f_uld_precip U;R	Precipitous labor RFP 718=f_uld_precip U;R					
uld_prepla														Placenta previa U	Placenta previa U	Placenta previa U	Placenta previa RFP 715=f_uld_preplace U												
uld_prolg														Prolonged Labor U	Prolonged Labor U	Prolonged Labor U	Prolonged Labor RFP 719=f_uld_prolg U												
uld_ruptr														Premature Rupture of Membrane U	Premature Rupture of Membrane U	Premature Rupture of Membrane U	Premature Rupture of Membrane RFP 713=f_uld_rupture U												
uld_seiz														Seizures During Labor U	Seizures During Labor U	Seizures During Labor U	Seizures During Labor RFP 717=f_uld_seizure U												
ultras	Ultrasound	Ultrasound	Ultrasound	Ultrasound	Ultrasound	Ultrasound	Ultrasound	Ultrasound	Ultrasound	Ultrasound	Ultrasound	Ultrasound	Ultrasound																
umagerpt														Mother's Reported Age U															
umbstate																													
ume_forcep														Forceps U;R	Forceps U;R	Forceps U;R	Forceps RFP 734=f_u_forcep U;R	Forceps RFP 734=f_u_forcep U;R	Forceps RFP 734=f_u_forcep U;R	Forceps RFP 734=f_u_forcep U;R	Forceps RFP 734=f_u_forcep U;R	Forceps RFP 734=f_u_forcep U;R	Forceps RFP 734=f_u_forcep U;R	Forceps RFP 734=f_u_forcep U;R	Forceps 1 Yes	Forceps 1 Yes	Forceps 1 Yes	Forceps 1 Yes	Forceps 1 Yes
ume_primc														Primary C-Section U;R	Primary C-Section U;R	Primary C-Section U;R	Primary C-Section RFP 732=f_u_primc U	Primary C-Section RFP 732=f_u_primc U	Primary C-Section RFP 732=f_u_primc U										
ume_repec														Repeat C-Section U;R	Repeat C-Section U;R	Repeat C-Section U;R	Repeat C-Section RFP 733=f_u_repec U	Repeat C-Section RFP 733=f_u_repec U	Repeat C-Section RFP 733=f_u_repec U										
ume_vac														Vacuum U;R	Vacuum U;R	Vacuum U;R	Vacuum RFP 735=f_u_vac U;R	Vacuum RFP 735=f_u_vac U;R	Vacuum RFP 735=f_u_vac U;R	Vacuum RFP 735=f_u_vac U;R	Vacuum RFP 735=f_u_vac U;R	Vacuum RFP 735=f_u_vac U;R	Vacuum RFP 735=f_u_vac U;R	Vacuum RFP 735=f_u_vac U;R	Vacuum 1 Yes	Vacuum 1 Yes	Vacuum 1 Yes	Vacuum 1 Yes	Vacuum 1 Yes
ume_vag														Vaginal U;R	Vaginal U;R	Vaginal U;R	Vaginal RFP 730=f_u_vag U	Vaginal RFP 730=f_u_vag U	Vaginal RFP 730=f_u_vag U										
ume_vbac														Vaginal after C-Section U;R	Vaginal after C-Section U;R	Vaginal after C-Section U;R	Vaginal after C-Section RFP 731=f_u_vbac U	Vaginal after C-Section RFP 731=f_u_vbac U	Vaginal after C-Section RFP 731=f_u_vbac U										
umhisp														Mother's Hispanic Origin U;R	Mother's Hispanic Origin U;R	Mother's Hispanic Origin RFP 569=f_morigin U;R	Mother's Hispanic Origin RFP 569=f_morigin U;R	Mother's Hispanic Origin RFP 569=f_morigin U;R	Mother's Hispanic Origin RFP 569=f_morigin U;R	Mother's Hispanic Origin RFP 569=f_morigin U;R	Mother's Hispanic Origin RFP 569=f_morigin U;R	Mother's Hispanic Origin RFP 569=f_morigin U;R	Mother's Hispanic Origin RFP 569=f_morigin U;R	Mother's Hispanic Origin RFP 569=f_morigin U;R					
uop_amnio														Amniocentesis U	Amniocentesis U	Amniocentesis U	Amniocentesis U												
uop_induc														Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of Labor 1 Yes	Induction of Labor 1 Yes	Induction of Labor 1 Yes	Induction of Labor 1 Yes	Induction of Labor 1 Yes
uop_monit														Electronic Fetal Monitoring U	Electronic Fetal Monitoring U	Electronic Fetal Monitoring U	Electronic Fetal Monitoring U												
uop_other														Other Obstetric Procedures U	Other Obstetric Procedures U	Other Obstetric Procedures U	Other Obstetric Procedures U												
uop_stiml														Stimulation of labor U	Stimulation of labor U	Stimulation of labor U	Stimulation of labor U												
uop_tocol														Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R					
uop_ultra														Ultrasound U	Ultrasound U	Ultrasound U	Ultrasound U												
uprevis														Number of Prenatal Visits U;R	Number of Prenatal Visits U;R	Number of Prenatal Visits U;R	Number of Prenatal Visits U;R	Number of Prenatal Visits U;R	Number of Prenatal Visits U;R	Number of Prenatal Visits RFP 671=f_tpcv U;R	Number of Prenatal Visits RFP 671=f_tpcv U;R	Number of Prenatal Visits RFP 671=f_tpcv U;R	Number of Prenatal Visits RFP 671=f_tpcv U;R	Number of Prenatal Visits RFP 671=f_tpcv U;R					
urf_anemia														Anemia U	Anemia U	Anemia U	Anemia RFP 681=f_urf_anemia U												
urf_card														Cardiac U	Cardiac U	Cardiac U	Cardiac RFP 682=f_urf_cardiac U												
urf_chyper														Chronic Hypertension U;R	Chronic Hypertension U;R	Chronic Hypertension U;R	Chronic Hypertension RFP 688=f_urf_chyper U;R	Chronic Hypertension RFP 688=f_urf_chyper U;R	Chronic Hypertension RFP 688=f_urf_chyper U;R	Chronic Hypertension RFP 688=f_urf_chyper U;R	Chronic Hypertension RFP 688=f_urf_chyper U;R	Chronic Hypertension RFP 688=f_urf_chyper U;R	Chronic Hypertension RFP 688=f_urf_chyper U;R	Chronic Hypertension RFP 688=f_urf_chyper U;R	Chronic Hypertension 1 Yes	Chronic Hypertension 1 Yes	Chronic Hypertension 1 Yes	Chronic Hypertension 1 Yes	Chronic Hypertension 1 Yes
urf_diab														Diabetes U;R	Diabetes U;R	Diabetes U;R	Diabetes RFP 684=f_urf_diabetes U;R	Diabetes RFP 684=f_urf_diabetes U;R	Diabetes RFP 684=f_urf_diabetes U;R	Diabetes RFP 684=f_urf_diabetes U;R	Diabetes RFP 684=f_urf_diabetes U;R	Diabetes RFP 684=f_urf_diabetes U;R	Diabetes RFP 684=f_urf_diabetes U;R	Diabetes RFP 684=f_urf_diabetes U;R	Diabetes 1 Yes	Diabetes 1 Yes	Diabetes 1 Yes	Diabetes 1 Yes	Diabetes 1 Yes
urf_eclam														Eclampsia U;R	Eclampsia U;R	Eclampsia U;R	Eclampsia RFP 690=f_urf_eclamp U;R	Eclampsia RFP 690=f_urf_eclamp U;R	Eclampsia RFP 690=f_urf_eclamp U;R	Eclampsia RFP 690=f_urf_eclamp U;R	Eclampsia RFP 690=f_urf_eclamp U;R	Eclampsia RFP 690=f_urf_eclamp U;R	Eclampsia RFP 690=f_urf_eclamp U;R	Eclampsia RFP 690=f_urf_eclamp U;R	Eclampsia 1 Yes	Eclampsia 1 Yes	Eclampsia 1 Yes	Eclampsia 1 Yes	Eclampsia 1 Yes
urf_gen														Genital Herpes U	Genital Herpes U	Genital Herpes U	Genital Herpes RFP 685=f_urf_herpes U												
urf_hemo														Hemoglobinopathy U	Hemoglobinopathy U	Hemoglobinopathy U	Hemoglobinopathy RFP 687=f_urf_hemo U												
urf_hydra														Hydramnios/Oligohydramnios U	Hydramnios/Oligohydramnios U	Hydramnios/Oligohydramnios U	Hydramnios/Oligohydramnios RFP 686=f_urf_hydra U												
urf_incerv														Incompetent cervix U	Incompetent cervix U	Incompetent cervix U	Incompetent cervix RFP 691=f_urf_incervix U												
urf_lung														Acute or Chronic Lung Disease U	Acute or Chronic Lung Disease U	Acute or Chronic Lung Disease U	Acute or Chronic Lung Disease RFP 683=f_urf_lung U												
urf_other														Other Medical Risk Factors U	Other Medical Risk Factors U	Other Medical Risk Factors U	Other Medical Risk Factors RFP 697=f_urf_othermr U												
urf_phyper														Pregnancy Associated Hypertension U;R	Pregnancy Associated Hypertension U;R	Pregnancy Associated Hypertension U;R	Pregnancy Associated Hypertension RFP 689=f_urf_phyper U;R	Pregnancy Associated Hypertension RFP 689=f_urf_phyper U;R	Pregnancy Associated Hypertension RFP 689=f_urf_phyper U;R	Pregnancy Associated Hypertension RFP 689=f_urf_phyper U;R	Pregnancy Associated Hypertension RFP 689=f_urf_phyper U;R	Pregnancy Associated Hypertension RFP 689=f_urf_phyper U;R	Pregnancy Associated Hypertension RFP 689=f_urf_phyper U;R	Pregnancy Associated Hypertension RFP 689=f_urf_phyper U;R	Pregnancy Associated Hypertension 1 Yes	Pregnancy Associated Hypertension 1 Yes	Pregnancy Associated Hypertension 1 Yes	Pregnancy Associated Hypertension 1 Yes	Pregnancy Associated Hypertension 1 Yes
urf_pre4000														Previous infant 4000+ Grams  U	Previous infant 4000+ Grams  U	Previous infant 4000+ Grams  U	Previous infant 4000+ Grams RFP 692=f_urf_pre4000 U												
urf_preterm														Previous Preterm or Small for Gestation U	Previous Preterm or Small for Gestation U	Previous Preterm or Small for Gestation U	Previous Preterm or Small for Gestation RFP 693=f_urf_preterm U												
urf_renal														Renal disease U	Renal disease U	Renal disease U	Renal disease RFP 694=f_urf_renal U												
urf_rh														Rh sensitization U	Rh sensitization U	Rh sensitization U	Rh sensitization RFP 695=f_urf_rh U												
urf_uterine														Uterine bleeding U	Uterine bleeding U	Uterine bleeding U	Uterine bleeding RFP 696=f_urf_uterine U												
urogen	Other urogenital anomalies	Other urogenital anomalies	Other urogenital anomalies	Other urogenital anomalies	Other urogenital anomalies	Other urogenital anomalies	Other urogenital anomalies	Other urogenital anomalies	Other urogenital anomalies	Other urogenital anomalies	Other urogenital anomalies	Other urogenital anomalies	Other urogenital anomalies																
uterine	Uterine bleeding	Uterine bleeding	Uterine bleeding	Uterine bleeding	Uterine bleeding	Uterine bleeding	Uterine bleeding	Uterine bleeding	Uterine bleeding	Uterine bleeding	Uterine bleeding	Uterine bleeding	Uterine bleeding																
vacuum	Vacuum	Vacuum	Vacuum	Vacuum	Vacuum	Vacuum	Vacuum	Vacuum	Vacuum	Vacuum	Vacuum	Vacuum	Vacuum																
vaginal	Vaginal	Vaginal	Vaginal	Vaginal	Vaginal	Vaginal	Vaginal	Vaginal	Vaginal	Vaginal	Vaginal	Vaginal	Vaginal																
vbac	Vaginal Birth after previous C-section	Vaginal Birth after previous C-section	Vaginal Birth after previous C-section	Vaginal Birth after previous C-section	Vaginal Birth after previous C-section	Vaginal Birth after previous C-section	Vaginal Birth after previous C-section	Vaginal Birth after previous C-section	Vaginal Birth after previous C-section	Vaginal Birth after previous C-section	Vaginal Birth after previous C-section	Vaginal birth after previous C-section	Vaginal birth after previous C-section																
